,year,stage,stage_type,profile_icon,gc_leader,gc_stage_time_str,power,stage_grade
0,1985,Plumelec,RR,p1,HINAULT Bernard,0:08:47,558.2400283768867,0.0188235294117647
1,1985,Lanester,RR,p1,VANDERAERDEN Eric,6:32:52,343.0786959692436,0.01250390625
2,1985,Vitré,RR,p1,VANDERAERDEN Eric,6:29:21,297.7061528964386,0.0113719008264462
3,1985,Pont-Audemer,RR,p1,ANDERSEN Kim,6:31:46,285.7981541250865,0.0127223382045929
4,1985,Roubaix,RR,p1,ANDERSEN Kim,6:27:36,221.2047367856856,0.0084732142857142
5,1985,Reims,RR,p1,ANDERSEN Kim,6:29:34,227.34419739979663,0.010627539503386
6,1985,Nancy,RR,p2,ANDERSEN Kim,5:55:16,165.84584435632996,0.0107880184331797
7,1985,Straatsburg,ITT,p2,HINAULT Bernard,1:34:55,348.82741316956435,0.01588
8,1985,Épinal,RR,p3,HINAULT Bernard,4:15:55,234.97172593939467,0.0166570605187319
9,1985,Pontarlier (Larmont),RR,p5,HINAULT Bernard,5:08:00,396.40045233968624,0.0192665036674816
10,1985,Morzine-Avoriaz,RR,p5,HINAULT Bernard,5:19:11,397.51672024486095,0.0247333333333333
11,1985,Lans en Vercors,RR,p5,HINAULT Bernard,8:26:10,374.70026006820456,0.0310929368029739
12,1985,Villard-de-Lans,ITT,p2,HINAULT Bernard,0:42:11,332.4113523266543,0.0234591194968553
13,1985,Saint-Etienne,RR,p4,HINAULT Bernard,4:59:04,306.17701769835395,0.0208547486033519
14,1985,Aurillac,RR,p4,HINAULT Bernard,7:18:36,283.2574275489217,0.0239410526315789
15,1985,Toulouse,RR,p2,HINAULT Bernard,6:35:09,193.25593456286288,0.0175020242914979
16,1985,Luz-Ardiden,RR,p5,HINAULT Bernard,7:01:26,315.4993932088043,0.0281957040572792
17,1985,Col d'Aubisque,RR,p5,HINAULT Bernard,1:40:49,493.4330946920642,0.0459428571428571
18,1985,Pau,RR,p4,HINAULT Bernard,2:24:02,419.1963600088864,0.0357485029940119
19,1985,Bordeaux,RR,p1,HINAULT Bernard,5:42:13,222.95032693868575,0.008185
20,1985,Limoges,RR,p3,HINAULT Bernard,5:54:02,196.3653295169792,0.0156488888888888
21,1985,Auphelle (Lac de Vassivière),ITT,p2,HINAULT Bernard,1:02:56,297.7574123720327,0.0219693654266958
22,1985,Paris,RR,p1,HINAULT Bernard,5:13:56,350.8883973134021,0.0092073732718894
23,1986,Boulogne-Billancourt,RR,p1,MARIE Thierry,0:05:21,675.7443297839628,0.013695652173913
24,1986,Sceaux,RR,p3,STIEDA Alex,1:58:42,254.81903490815705,0.0110117647058823
25,1986,Liévin,RR,p1,MARIE Thierry,5:45:36,264.3628911398,0.0086962616822429
26,1986,Évreux,RR,p1,GAIGNE Dominique,6:57:07,231.74637774748305,0.0093415637860082
27,1986,Villers-sur-Mer,RR,p2,VAN DER VELDE Johan,3:04:05,212.64256943795488,0.009156626506024
28,1986,Cherbourg,RR,p3,VAN DER VELDE Johan,4:47:57,229.1403897577572,0.009285
29,1986,Saint Hilaire du Harcouët,RR,p1,PEDERSEN Jørgen Vagn,4:57:00,360.2406556332411,0.0122338308457711
30,1986,Nantes,RR,p1,PEDERSEN Jørgen Vagn,4:39:55,410.822506737042,0.0097598039215686
31,1986,Nantes,ITT,p1,PEDERSEN Jørgen Vagn,1:20:28,444.6432420838863,0.0075772357723577
32,1986,Futuroscope,RR,p1,PEDERSEN Jørgen Vagn,4:29:58,334.20853011531744,0.0088852459016393
33,1986,Bordeaux,RR,p1,PEDERSEN Jørgen Vagn,6:13:10,341.995127636262,0.0075280464216634
34,1986,Pau,RR,p4,HINAULT Bernard,6:03:19,377.99995178618224,0.0288
35,1986,Superbagnères,RR,p5,HINAULT Bernard,6:11:16,389.3073349893262,0.0364569892473118
36,1986,Blagnac,RR,p1,HINAULT Bernard,3:55:46,291.4133794419473,0.0076038961038961
37,1986,Nîmes,RR,p1,HINAULT Bernard,5:52:39,285.85346109532185,0.0089667405764966
38,1986,Gap,RR,p2,HINAULT Bernard,7:48:10,124.20085579782312,0.0162150101419878
39,1986,Col du Granon,RR,p5,LEMOND Greg,5:59:18,430.42778164595416,0.0350315789473684
40,1986,l'Alpe d'Huez,RR,p5,LEMOND Greg,5:03:03,511.161564946936,0.0425107692307692
41,1986,Saint-Etienne,RR,p4,LEMOND Greg,5:08:37,307.7917459698285,0.0211810584958217
42,1986,Saint-Etienne,ITT,p2,LEMOND Greg,1:16:01,328.43899965285595,0.0178448275862068
43,1986,Puy de Dôme,RR,p5,LEMOND Greg,5:38:40,336.8118043705938,0.0222052631578947
44,1986,Nevers,RR,p1,LEMOND Greg,5:12:55,258.33738660105223,0.0066938775510204
45,1986,Paris,RR,p1,LEMOND Greg,6:51:55,240.52832087703976,0.0081582150101419
46,1987,Berlin,RR,p1,NIJDAM Jelle,0:07:06,663.2896955415272,0.0118032786885245
47,1987,Berlin,RR,p1,PIASECKI Lech,2:11:33,499.2504541699037,0.0068530805687203
48,1987,Stuttgart,RR,p2,MÄCHLER Erich,5:27:37,,
49,1987,Pforzheim,RR,p2,MÄCHLER Erich,1:50:51,257.5468326923848,0.0128734177215189
50,1987,Strasbourg,RR,p2,MÄCHLER Erich,2:32:42,284.530512741133,0.01376
51,1987,Épinal,RR,p4,MÄCHLER Erich,4:15:34,321.22050968442375,0.0156568047337278
52,1987,Troyes,RR,p1,MÄCHLER Erich,5:08:17,343.34538833185525,0.0089763033175355
53,1987,Épinay-sous-Sénart,RR,p1,MÄCHLER Erich,5:23:53,264.78896618786774,0.006574209245742
54,1987,Renazé,RR,p1,MÄCHLER Erich,7:07:26,236.2637391776633,0.0064423076923076
55,1987,Futuroscope,ITT,p1,MOTTET Charly,1:58:53,416.7542036437894,0.0092342857142857
56,1987,Chaumeil,RR,p3,GAYANT Martial,7:06:55,166.75797382940658,0.0138509803921568
57,1987,Bordeaux,RR,p1,GAYANT Martial,5:46:21,320.8922172246981,0.0096973684210526
58,1987,Pau,RR,p4,MOTTET Charly,6:23:41,371.2774251992011,0.0299223744292237
59,1987,Luz Ardiden,RR,p5,MOTTET Charly,5:18:01,453.9495074002194,0.0394457831325301
60,1987,Blagnac,RR,p2,MOTTET Charly,4:09:46,200.9568547592649,0.0107682926829268
61,1987,Millau,RR,p5,MOTTET Charly,6:13:44,257.5101758985875,0.0134826789838337
62,1987,Avignon,RR,p2,MOTTET Charly,6:17:44,184.09900779950627,0.0186069868995633
63,1987,Mont Ventoux,ITT,p5,BERNARD Jean-François,1:19:44,499.3456386499183,0.0544657534246575
64,1987,Villard de Lans,RR,p4,ROCHE Stephen,4:53:37,429.8763364477297,0.0261729729729729
65,1987,l'Alpe d'Huez,RR,p5,DELGADO Pedro,5:55:55,431.85605276833456,0.0323681592039801
66,1987,La Plagne,RR,p5,DELGADO Pedro,6:08:02,448.07122393516056,0.0417789757412398
67,1987,Morzine,RR,p4,DELGADO Pedro,6:14:49,371.6045743253316,0.0395913978494623
68,1987,Dijon,RR,p2,DELGADO Pedro,6:44:18,120.65430263562668,0.0147641509433962
69,1987,Dijon,ITT,p2,ROCHE Stephen,0:50:01,309.7692586264832,0.0124210526315789
70,1987,Paris,RR,p1,ROCHE Stephen,4:57:33,293.5832671729561,0.0104139784946236
71,1988,La Baule,RR,p1,BONTEMPI Guido,0:01:14,878.4137299008496,0.044
72,1988,Machecoul,RR,p1,BAUER Steve,2:16:34,296.9863263175012,0.0050163934426229
73,1988,Le Mans,RR,p1,VAN VLIET Teun,4:52:08,388.9676227303584,0.0069508196721311
74,1988,Évreux,RR,p3,VAN VLIET Teun,3:25:14,306.81066894873976,0.0099177215189873
75,1988,Liévin,RR,p1,LUBBERDING Henk,3:14:27,449.3231081988809,0.009057627118644
76,1988,Wasquehal,ITT,p1,NIJDAM Jelle,1:04:03,502.7080074540591,0.0051153846153846
77,1988,Reims,RR,p1,NIJDAM Jelle,5:28:57,353.1952020036204,0.0095688888888888
78,1988,Nancy,RR,p2,BAUER Steve,5:24:18,211.6538443718881,0.008310502283105
79,1988,Straatsburg,RR,p4,BAUER Steve,3:49:27,358.0726407720233,0.0141495327102803
80,1988,Besançon,RR,p2,BAUER Steve,3:28:31,275.2930750132156,0.0155317725752508
81,1988,Morzine,RR,p3,BAUER Steve,6:05:17,221.38659439520077,0.0216810344827586
82,1988,l'Alpe d'Huez,RR,p5,DELGADO Pedro,6:56:01,471.9377941150842,0.0388678414096916
83,1988,Villard de Lans,ITT,p5,DELGADO Pedro,1:02:24,536.0870223261004,0.0372368421052631
84,1988,Guzet-Neige,RR,p5,DELGADO Pedro,4:39:17,388.50459052144686,0.0259815950920245
85,1988,Luz Ardiden,RR,p5,DELGADO Pedro,6:26:46,421.8866677695392,0.0413493333333333
86,1988,Pau,RR,p1,DELGADO Pedro,0:46:36,506.9067420001972,0.0053421052631578
87,1988,Bordeaux,RR,p1,DELGADO Pedro,4:58:03,339.70571646268246,0.0055
88,1988,Limoges,RR,p3,DELGADO Pedro,2:13:31,254.7480684924832,0.0159251336898395
89,1988,Puy de Dôme,RR,p5,DELGADO Pedro,5:19:59,348.2549645134926,0.0216968085106382
90,1988,Chalon-sur-Saône,RR,p2,DELGADO Pedro,6:03:47,167.4304056022803,0.0105816554809843
91,1988,Santenay,ITT,p2,DELGADO Pedro,1:02:48,275.46329589257425,0.0125217391304347
92,1988,Paris,RR,p1,DELGADO Pedro,4:51:29,249.9988325216657,0.0107768115942029
93,1989,Luxembourg,RR,p1,BREUKINK Erik,0:09:54,608.9874941464092,0.0194871794871794
94,1989,Luxembourg,RR,p2,DA SILVA Acácio,3:21:36,226.76401138914585,0.0149667896678966
95,1989,Francorchamps,RR,p2,DA SILVA Acácio,6:35:07,180.0952128826598,0.016161825726141
96,1989,Wasquehal,RR,p1,DA SILVA Acácio,6:14:03,332.98375965238023,0.0081411764705882
97,1989,Rennes,ITT,p3,LEMOND Greg,1:38:12,282.32676081310854,0.0107534246575342
98,1989,Futuroscope,RR,p1,LEMOND Greg,6:59:21,252.66379657259708,0.0071583011583011
99,1989,Bordeaux,RR,p1,LEMOND Greg,7:22:01,213.383812761596,0.0062630560928433
100,1989,Pau,RR,p2,LEMOND Greg,3:51:46,222.4127803322144,0.0117070063694267
101,1989,Cauterets-Cambasque,RR,p5,LEMOND Greg,4:34:34,493.91650219336935,0.0408231292517006
102,1989,Superbagnères,RR,p5,FIGNON Laurent,4:25:45,512.494057235048,0.0460735294117647
103,1989,Blagnac,RR,p2,FIGNON Laurent,3:37:47,270.8701053328384,0.0120567823343848
104,1989,Montpellier,RR,p2,FIGNON Laurent,6:02:39,211.3159150712474,0.0109421487603305
105,1989,Marseille,RR,p2,FIGNON Laurent,4:18:56,223.20691789995607,0.0081061452513966
106,1989,Gap,RR,p2,FIGNON Laurent,6:27:57,196.659949060782,0.0192125
107,1989,Orcières-Merlette,ITT,p5,LEMOND Greg,1:11:39,470.3496863893178,0.0372564102564102
108,1989,Briançon,RR,p5,LEMOND Greg,4:51:36,469.9600662554796,0.0306914285714285
109,1989,l'Alpe d'Huez,RR,p5,FIGNON Laurent,5:11:48,495.1400398794032,0.0417757575757575
110,1989,Villard-de-Lans (Côte 2000),RR,p5,FIGNON Laurent,2:31:28,444.8220788934216,0.0279781420765027
111,1989,Aix les Bains,RR,p4,FIGNON Laurent,3:17:53,420.2052974389888,0.02756
112,1989,l'Isle d'Abeau,RR,p1,FIGNON Laurent,3:26:16,287.5877666616943,0.0098923076923076
113,1989,Paris,ITT,p1,LEMOND Greg,0:26:57,722.6120069072251,0.0081632653061224
114,1990,Futuroscope,RR,p1,MARIE Thierry,0:07:49,723.9212099253557,0.0292063492063492
115,1990,Futuroscope,RR,p1,BAUER Steve,3:19:01,364.9829321260492,0.0088953068592057
116,1990,Nantes,RR,p1,BAUER Steve,5:48:42,321.6807560078995,0.0080429184549356
117,1990,Mont-Saint-Michel,RR,p1,BAUER Steve,5:23:33,287.3400851083018,0.009615763546798
118,1990,Rouen,RR,p1,BAUER Steve,7:47:37,319.32595711431,0.0111794019933554
119,1990,Vittel,RR,p1,BAUER Steve,5:24:04,290.02850091386887,0.0102814814814814
120,1990,Epinal,ITT,p1,BAUER Steve,1:19:48,524.631541096436,0.0137398373983739
121,1990,Besançon,RR,p1,BAUER Steve,4:27:14,304.61229689657296,0.0044255085211654
122,1990,Genève,RR,p2,BAUER Steve,4:46:44,231.87848345433665,0.0121479591836734
123,1990,Saint-Gervais-les-Bains,RR,p5,PENSEC Ronan,3:27:00,330.40865215776023,0.0211054852320675
124,1990,L'Alpe d'Huez,RR,p5,PENSEC Ronan,5:38:39,353.2439319319383,0.0267232876712328
125,1990,Villard de lans,ITT,p3,CHIAPPUCCI Claudio,0:57:57,193.2785224523128,0.028955223880597
126,1990,Saint-Etienne,RR,p2,CHIAPPUCCI Claudio,3:25:05,268.1936209406175,0.0116375838926174
127,1990,Millau - Montée du Causse Noir,RR,p5,CHIAPPUCCI Claudio,5:12:50,335.28574536597705,0.0137170731707317
128,1990,Revel,RR,p2,CHIAPPUCCI Claudio,4:18:44,200.4124304274185,0.0101823529411764
129,1990,Luz-Ardiden,RR,p5,CHIAPPUCCI Claudio,7:07:03,250.32962640802572,0.0186
130,1990,Pau,RR,p4,CHIAPPUCCI Claudio,4:13:56,278.1150728635986,0.01724
131,1990,Bordeaux,RR,p1,CHIAPPUCCI Claudio,5:41:52,184.77910574412627,0.001589108910891
132,1990,Limoges,RR,p1,CHIAPPUCCI Claudio,5:22:08,195.58818477644192,0.006104109589041
133,1990,Lac de Vassivière,ITT,p1,LEMOND Greg,1:03:37,521.3437451584557,0.0241098901098901
134,1990,Paris,RR,p1,LEMOND Greg,4:53:52,255.35146442083695,0.0070410958904109
135,1991,Lyon,RR,p1,MARIE Thierry,0:06:11,682.0674219387895,0.0116666666666666
136,1991,Lyon,RR,p1,LEMOND Greg,2:28:54,519.5396959073445,0.0144366812227074
137,1991,Dijon,RR,p1,SØRENSEN Rolf,5:15:11,312.85248543040973,0.0072779097387173
138,1991,Reims,RR,p1,SØRENSEN Rolf,7:49:14,271.3480991042289,0.0103146853146853
139,1991,Valenciennes,RR,p1,SØRENSEN Rolf,3:17:51,439.878568588808,0.0079665551839464
140,1991,Le Havre,RR,p1,MARIE Thierry,6:38:27,309.1776887564065,0.010011583011583
141,1991,Argentan,RR,p1,MARIE Thierry,4:02:18,532.7236838741464,0.0086870229007633
142,1991,Alençon,ITT,p1,LEMOND Greg,1:35:52,491.5978993295444,0.0127945205479452
143,1991,Rennes,RR,p1,LEMOND Greg,3:41:44,415.3465685432608,0.0104285714285714
144,1991,Quimper,RR,p1,LEMOND Greg,5:23:29,300.1485405966169,0.0098650602409638
145,1991,Saint-Herblain,RR,p1,LEMOND Greg,5:12:31,504.7867313451552,0.0097642276422764
146,1991,Jaca,RR,p4,LEBLANC Luc,5:15:54,424.2884405091627,0.0314635416666666
147,1991,Val Louron,RR,p5,INDURAIN Miguel,7:11:17,537.9251080770727,0.038603448275862
148,1991,Castres,RR,p1,INDURAIN Miguel,4:17:27,359.75769781647733,0.0110840579710144
149,1991,Alès,RR,p1,INDURAIN Miguel,6:23:15,364.679022962087,0.0193191489361702
150,1991,Gap,RR,p1,INDURAIN Miguel,6:07:07,301.9533421037687,0.0157581395348837
151,1991,l'Alpe d'Huez,RR,p5,INDURAIN Miguel,3:25:49,,
152,1991,Morzine,RR,p3,INDURAIN Miguel,7:27:17,197.36339615536647,0.0280980392156862
153,1991,Aix les Bains,RR,p2,INDURAIN Miguel,4:20:18,275.4072676975793,0.0238361581920903
154,1991,Mâcon,RR,p2,INDURAIN Miguel,4:12:59,213.2708839501591,0.0181875
155,1991,Mâcon,ITT,p1,INDURAIN Miguel,1:11:45,594.7227096550502,0.0151578947368421
156,1991,Paris,RR,p1,INDURAIN Miguel,4:43:36,330.41270223458764,0.0135505617977528
157,1992,San Sebastian,RR,p1,INDURAIN Miguel,0:09:22,751.1150779344051,0.0185
158,1992,San Sebastian,RR,p2,ZÜLLE Alex,4:37:39,284.8158468432912,0.0228688946015424
159,1992,Pau,RR,p2,VIRENQUE Richard,6:41:59,223.25316440145508,0.0246666666666666
160,1992,Bordeaux,RR,p1,LINO Pascal,5:45:17,256.20114099461034,0.005894495412844
161,1992,Wasquehal,RR,p1,LINO Pascal,4:09:34,480.97402879653714,0.0078469387755102
162,1992,Brussel,RR,p1,LINO Pascal,3:38:28,494.8178229515978,0.0129820359281437
163,1992,Valkenburg,RR,p1,LINO Pascal,4:22:52,442.9762849295961,0.0102290076335877
164,1992,Koblenz,RR,p1,LINO Pascal,4:49:41,412.8804158028015,0.0126343825665859
165,1992,Luxembourg,ITT,p2,LINO Pascal,1:23:37,327.9478059843444,0.0135384615384615
166,1992,Straatsburg,RR,p1,LINO Pascal,5:02:45,422.7625330342443,0.0131244239631336
167,1992,Mulhouse,RR,p2,LINO Pascal,6:31:11,226.21715208807296,0.024693386773547
168,1992,Saint-Gervais-les-Bains,RR,p3,LINO Pascal,7:13:52,108.5378300132101,0.0283125
169,1992,Sestriere,RR,p5,INDURAIN Miguel,7:46:36,556.7918581443137,0.0393673870333988
170,1992,l'Alpe d'Huez,RR,p5,INDURAIN Miguel,5:45:13,586.433377941663,0.0426327077747989
171,1992,Saint-Etienne,RR,p2,INDURAIN Miguel,4:44:48,251.12271117732627,0.0134444444444444
172,1992,La Bourboule,RR,p3,INDURAIN Miguel,5:53:05,204.58515335008923,0.0231839622641509
173,1992,Montluçon,RR,p2,INDURAIN Miguel,4:51:10,221.80462137254776,0.0166666666666666
174,1992,Tours,RR,p2,INDURAIN Miguel,5:07:15,224.36960983711376,0.0075943396226415
175,1992,Blois,ITT,p2,INDURAIN Miguel,1:13:21,442.3386780863885,0.00975
176,1992,Nanterre,RR,p2,INDURAIN Miguel,6:11:07,149.4557371847177,0.0067072072072072
177,1992,Paris,RR,p2,INDURAIN Miguel,3:28:37,231.16702202017427,0.0128226950354609
178,1993,Puy-du-Fou,RR,p1,INDURAIN Miguel,0:08:12,672.3701084835433,0.0161764705882352
179,1993,Les Sables-d'Olonne,RR,p1,INDURAIN Miguel,4:52:29,425.1487695305152,0.0086465116279069
180,1993,Vannes,RR,p1,NELISSEN Wilfried,5:41:09,296.66801116435005,0.0059296703296703
181,1993,Dinard,RR,p1,NELISSEN Wilfried,4:41:53,354.3607602888218,0.0122269129287598
182,1993,Evreux,RR,p1,NELISSEN Wilfried,5:11:58,408.0082296969763,0.0104212860310421
183,1993,Amiens,RR,p1,CIPOLLINI Mario,3:12:03,579.8896817262973,0.0097025316455696
184,1993,Châlons Sur Marne,RR,p1,MUSEEUW Johan,4:28:11,450.4771922755564,0.0110703517587939
185,1993,Verdun,RR,p1,MUSEEUW Johan,4:22:37,382.93520196997,0.0099891598915989
186,1993,Lac De Madine,ITT,p1,INDURAIN Miguel,1:12:50,574.8083016564946,0.011
187,1993,Serre Chevalier,RR,p4,INDURAIN Miguel,5:28:52,545.6689406588565,0.0359014778325123
188,1993,Isola 2000,RR,p5,INDURAIN Miguel,5:41:03,423.3561258270824,0.0298268156424581
189,1993,Marseille,RR,p2,INDURAIN Miguel,7:50:19,214.22048156633912,0.0242937062937062
190,1993,Montpellier,RR,p1,INDURAIN Miguel,4:13:10,382.7719735506372,0.0071019283746556
191,1993,Perpignan,RR,p1,INDURAIN Miguel,5:45:10,322.89337921316854,0.0103452914798206
192,1993,Pal,RR,p5,INDURAIN Miguel,7:22:09,482.9843726572152,0.0353434125269978
193,1993,Pla d'Adet,RR,p5,INDURAIN Miguel,7:21:04,463.7644878497898,0.0338347826086956
194,1993,Pau,RR,p4,INDURAIN Miguel,5:06:57,469.63664638496783,0.0292717678100263
195,1993,Bordeaux,RR,p1,INDURAIN Miguel,5:13:56,271.2895153695291,0.0060902255639097
196,1993,Montlhéry,ITT,p1,INDURAIN Miguel,0:57:44,634.4106260139974,0.0126666666666666
197,1993,Paris,RR,p1,INDURAIN Miguel,5:27:20,287.29510891640325,0.0121882951653944
198,1994,Lille-Euralille,RR,p1,BOARDMAN Chris,0:07:49,784.7831950416952,0.0108333333333333
199,1994,Armentières,RR,p1,BOARDMAN Chris,5:46:16,325.5393650266468,0.0076153846153846
200,1994,Boulogne-Sur-Mer,RR,p1,BOARDMAN Chris,5:05:40,330.06227916034965,0.0095724815724815
201,1994,Brighton,RR,p1,VANZELLA Flavio,5:13:13,356.3722076393916,0.0131687041564792
202,1994,Portsmouth,RR,p1,VANZELLA Flavio,4:10:49,474.3520056038888,0.0118877005347593
203,1994,Rennes,RR,p1,YATES Sean,6:58:49,316.0719684332691,0.0102365988909427
204,1994,Futuroscope,RR,p1,MUSEEUW Johan,5:56:50,395.9116710856207,0.0076801541425818
205,1994,Trélissac,RR,p1,MUSEEUW Johan,5:11:43,402.5972437837195,0.0123661327231121
206,1994,Bergerac,ITT,p1,INDURAIN Miguel,1:15:58,659.4335332597393,0.012953125
207,1994,Cahors,RR,p1,INDURAIN Miguel,3:40:06,492.9496544822515,0.0159003115264797
208,1994,Hautacam,RR,p5,INDURAIN Miguel,6:58:06,354.87713548300525,0.015066413662239
209,1994,Luz Ardiden,RR,p5,INDURAIN Miguel,6:16:14,494.8285543105115,0.0341662591687041
